date,review_count
2023-07-25,3132
2023-07-26,1993
2023-07-27,1149
2023-07-28,574
2023-07-29,279
2023-07-30,172
2023-07-31,984
2023-08-01,690
2023-08-02,281
2023-08-03,244
2023-08-04,151
2023-08-05,130
2023-08-06,101
2023-08-07,125
2023-08-08,104
2023-08-09,194
2023-08-10,194
2023-08-11,184
2023-08-12,186
2023-08-13,205
2023-08-14,159
2023-08-15,190
2023-08-16,212
2023-08-17,177
2023-08-18,191
2023-08-19,190
2023-08-20,209
2023-08-21,205
2023-08-22,211
2023-08-23,202
2023-08-24,187
2023-08-25,213
2023-08-26,224
2023-08-27,258
2023-08-28,281
2023-08-29,298
2023-08-30,273
2023-08-31,332
2023-09-01,308
2023-09-02,328
2023-09-03,396
2023-09-04,309
2023-09-05,301
2023-09-06,260
2023-09-07,304
2023-09-08,193
2023-09-09,231
2023-09-10,250
2023-09-11,240
2023-09-12,240
2023-09-13,220
2023-09-14,247
2023-09-15,227
2023-09-16,242
2023-09-17,251
2023-09-18,224
2023-09-19,216
2023-09-20,243
2023-09-21,220
2023-09-22,248
2023-09-23,224
2023-09-24,266
2023-09-25,222
2023-09-26,278
2023-09-27,240
2023-09-28,244
2023-09-29,220
2023-09-30,201
2023-10-01,222
2023-10-02,248
2023-10-03,196
2023-10-04,254
2023-10-05,206
2023-10-06,164
2023-10-07,165
2023-10-08,200
2023-10-09,177
2023-10-10,208
2023-10-11,193
2023-10-12,183
2023-10-13,152
2023-10-14,166
2023-10-15,207
2023-10-16,182
2023-10-17,186
2023-10-18,188
2023-10-19,185
2023-10-20,167
2023-10-21,170
2023-10-22,169
2023-10-23,183
2023-10-24,203
2023-10-25,205
2023-10-26,175
2023-10-27,163
2023-10-28,159
2023-10-29,202
2023-10-30,180
2023-10-31,166
2023-11-01,218
2023-11-02,169
2023-11-03,184
2023-11-04,199
2023-11-05,221
2023-11-06,192
2023-11-07,217
2023-11-08,220
2023-11-09,196
2023-11-10,163
2023-11-11,163
2023-11-12,174
2023-11-13,168
2023-11-14,229
2023-11-15,261
2023-11-16,259
2023-11-17,242
2023-11-18,274
2023-11-19,263
2023-11-20,286
2023-11-21,303
2023-11-22,492
2023-11-23,529
2023-11-24,438
2023-11-25,396
2023-11-26,435
